ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
ZRWDX	1	4	3	770	4_1_3.wav	3	3	41	f	44	154	41	127	0	3	2717	180
YRBOF	20	11	1	661	11_20_1.wav	1	1	11	m	47	68	126	11	1	4	2287	1
YRBOF	34	5	1	780	5_34_1.wav	2	3	41	f	68	166	41	67	1	3	1896	2
YRBOF	29	12	1	579	12_29_1.wav	3	1	13	m	140	13	49	56	1	2	1389	3
YRBOF	42	3	3	775	3_42_3.wav	3	1	38	f	38	116	65	49	1	1	864	4
YRBOF	49	3	1	475	3_49_1.wav	3	3	41	f	106	105	114	41	1	4	2040	5
YRBOF	30	4	3	590	4_30_3.wav	3	1	18	f	50	126	80	18	1	4	1853	6
YRBOF	48	1	1	695	1_48_1.wav	2	1	2	f	101	2	103	100	1	2	635	7
YRBOF	45	5	1	720	5_45_1.wav	2	2	15	f	154	15	87	114	1	2	1319	8
YRBOF	30	2	3	419	2_30_3.wav	1	1	18	f	97	58	26	18	1	4	1574	9
YRBOF	24	4	2	935	4_24_2.wav	3	1	33	f	33	44	178	107	1	1	760	10
YRBOF	53	5	1	710	5_53_1.wav	2	2	12	f	54	147	12	63	1	3	1321	11
YRBOF	33	3	2	845	3_33_2.wav	3	1	16	f	53	16	81	90	1	2	3085	12
YRBOF	50	6	1	548	6_50_1.wav	1	1	31	f	30	14	90	31	1	4	1524	13
YRBOF	31	11	2	689	11_31_2.wav	1	3	41	m	166	41	123	55	0	2	1815	14
YRBOF	30	9	2	373	9_30_2.wav	2	1	18	m	150	78	48	18	0	4	1816	15
YRBOF	12	10	1	517	10_12_1.wav	1	1	1	m	108	166	109	1	1	4	1334	16
YRBOF	52	4	3	885	4_52_3.wav	3	3	41	f	41	46	113	14	1	1	1043	17
YRBOF	4	4	3	705	4_4_3.wav	3	2	32	f	32	83	9	91	1	1	683	18
YRBOF	27	1	2	710	1_27_2.wav	2	3	41	f	109	107	52	41	1	4	2036	19
YRBOF	8	9	4	667	9_8_4.wav	2	2	6	m	6	25	111	117	1	1	902	20
YRBOF	36	7	1	725	7_36_1.wav	3	1	23	m	105	23	72	174	1	2	1496	21
YRBOF	19	3	1	837	3_19_1.wav	3	2	29	f	29	39	40	119	1	1	838	22
YRBOF	50	5	3	710	5_50_3.wav	2	1	31	f	45	43	70	31	1	4	1075	23
YRBOF	9	5	1	725	5_9_1.wav	2	2	37	f	37	52	68	154	1	1	1045	24
YRBOF	54	7	2	735	7_54_2.wav	3	2	19	m	126	19	28	32	1	2	2713	25
YRBOF	56	9	3	519	9_56_3.wav	2	2	3	m	3	78	119	98	1	1	2787	26
YRBOF	5	10	2	577	10_5_2.wav	1	2	25	m	126	25	141	106	1	2	1554	27
YRBOF	29	1	4	690	1_29_4.wav	2	1	13	f	13	162	64	173	1	1	1872	28
YRBOF	11	10	2	568	10_11_2.wav	1	3	41	m	78	41	14	118	1	2	1837	29
YRBOF	7	2	3	793	2_7_3.wav	1	1	20	f	83	122	36	20	1	4	849	30
YRBOF	32	4	3	690	4_32_3.wav	3	3	41	f	77	95	41	57	1	3	3036	31
YRBOF	37	9	1	624	9_37_1.wav	2	1	22	m	22	136	42	78	1	1	2988	32
YRBOF	35	1	3	720	1_35_3.wav	2	2	17	f	179	17	133	24	1	2	3468	33
